well	strain	condition
A1	wt	neg
A2	wt	neg
A3	wt	neg
A4	wt	neg
A5	wt	exp
A6	wt	exp
A7	wt	exp
A8	wt	exp
A9	wt	pos
A10	wt	pos
A11	wt	pos
A12	wt	pos
B1	mut1	neg
B2	mut1	neg
B3	mut1	neg
B4	mut1	neg
B5	mut1	exp
B6	mut1	exp
B7	mut1	exp
B8	mut1	exp
B9	mut1	pos
B10	mut1	pos
B11	mut1	pos
B12	mut1	pos
C1	mut2	neg
C2	mut2	neg
C3	mut2	neg
C4	mut2	neg
C5	mut2	exp
C6	mut2	exp
C7	mut2	exp
C8	mut2	exp
C9	mut2	pos
C10	mut2	pos
C11	mut2	pos
C12	mut2	pos
D1	mut3	neg
D2	mut3	neg
D3	mut3	neg
D4	mut3	neg
D5	mut3	exp
D6	mut3	exp
D7	mut3	exp
D8	mut3	exp
D9	mut3	pos
D10	mut3	pos
D11	mut3	pos
D12	mut3	pos
E1	mut4	neg
E2	mut4	neg
E3	mut4	neg
E4	mut4	neg
E5	mut4	exp
E6	mut4	exp
E7	mut4	exp
E8	mut4	exp
E9	mut4	pos
E10	mut4	pos
E11	mut4	pos
E12	mut4	pos
F1	NA	NA
F2	NA	NA
F3	NA	NA
F4	NA	NA
F5	NA	NA
F6	NA	NA
F7	NA	NA
F8	NA	NA
F9	NA	NA
F10	NA	NA
F11	NA	NA
F12	NA	NA
G1	NA	NA
G2	NA	NA
G3	NA	NA
G4	NA	NA
G5	NA	NA
G6	NA	NA
G7	NA	NA
G8	NA	NA
G9	NA	NA
G10	NA	NA
G11	NA	NA
G12	NA	NA
H1	NA	NA
H2	NA	NA
H3	NA	NA
H4	NA	NA
H5	NA	NA
H6	NA	NA
H7	NA	NA
H8	NA	NA
H9	NA	NA
H10	NA	NA
H11	NA	NA
H12	NA	NA
